Card Name,Rarity,Set Name,Card Type,Market Price
Double Colorless Energy - 90/108 (NA Championship Promo) [Staff],Promo,League & Championship Cards,Energy,136.64
Darkness Energy (Special) (Winner),Promo,League & Championship Cards,Energy,70.0
Double Colorless Energy - 90/108 (Oceana Championship Promo),Promo,League & Championship Cards,Energy,49.99
Darkness Energy (Secret),Secret Rare,SM - Burning Shadows,Energy,46.94
Fairy Energy (Secret),Secret Rare,SM - Burning Shadows,Energy,43.71
Lightning Energy (2004-2005),Promo,Professor Program Promos,Energy,39.77
Darkness Energy (Basic),Common,Call of Legends,Energy,38.29
Lightning Energy (Secret),Secret Rare,SM - Guardians Rising,Energy,37.27
Double Colorless Energy (Secret),Secret Rare,SM - Guardians Rising,Energy,32.86
Fire Energy (Secret),Secret Rare,SM - Burning Shadows,Energy,32.15
