Card Name,Rarity,Set Name,Card Type,Market Price
Victory Cup (1st - Autumn 2011),Holo Rare,Black and White Promos,Item,199.95
Victory Cup (1st - Spring 2013),Holo Rare,Black and White Promos,Item,130.0
Tropical Wind,Promo,Nintendo Promos,Item,56.0
Victory Cup (1st - Autumn 2012),Holo Rare,Black and White Promos,Item,50.0
Crushing Hammer (Secret Rare),Secret Rare,SM - Ultra Prism,Item,48.13
Quick Ball (Secret),Secret Rare,SWSH01: Sword & Shield Base Set,Item,43.6
Victory Cup (3rd - Spring 2012),Holo Rare,Black and White Promos,Item,43.5
Victory Cup (3rd - Autumn 2012),Holo Rare,Black and White Promos,Item,40.0
Escape Rope (Secret),Secret Rare,SM - Burning Shadows,Item,36.64
Switch (Secret),Secret Rare,SM Base Set,Item,32.48
