Card Name,Rarity,Set Name,Card Type,Market Price
Tropical Beach (Staff - BW50),Promo,Black and White Promos,Stadium,400.0
Tropical Beach (Staff),Promo,Black and White Promos,Stadium,400.0
Champions Festival (2017),Promo,SM Promos,Stadium,300.0
Champions Festival (2013 Top Thirty-Two),Promo,Black and White Promos,Stadium,295.95
Champions Festival (2018) [Staff],Promo,SM Promos,Stadium,225.0
Champions Festival (2018),Promo,SM Promos,Stadium,185.0
Viridian Forest (Secret),Secret Rare,SM - Unified Minds,Stadium,21.7
Brooklet Hill,Shiny Holo Rare,Hidden Fates: Shiny Vault,Stadium,20.73
Parallel City - 145/162 (Championship Promo) [Staff],Promo,League & Championship Cards,Stadium,20.34
Martial Arts Dojo (Secret),Secret Rare,SM - Cosmic Eclipse,Stadium,18.37
