Card Name,Rarity,Set Name,Card Type,Market Price
Lillie (Full Art),Ultra Rare,SM - Ultra Prism,Supporter,308.48
Lisia (Full Art),Ultra Rare,SM - Celestial Storm,Supporter,144.18
Rosa (Full Art),Ultra Rare,SM - Cosmic Eclipse,Supporter,141.02
Misty's Favor (Full Art),Ultra Rare,SM - Unified Minds,Supporter,108.42
Lillie's Full Force (Full Art),Ultra Rare,SM - Cosmic Eclipse,Supporter,90.05
Cynthia,Shiny Holo Rare,Hidden Fates: Shiny Vault,Supporter,86.35
Cynthia (Full Art),Ultra Rare,SM - Ultra Prism,Supporter,81.76
Sabrina's Suggestion (Full Art),Ultra Rare,SM - Team Up,Supporter,80.78
Marnie (Full Art),Ultra Rare,SWSH01: Sword & Shield Base Set,Supporter,80.15
Welder - 189a/214 (Regional Championship Promo) [Staff],Promo,League & Championship Cards,Supporter,74.95
