Card Name,Rarity,Set Name,Card Type,Market Price
Holon Transceiver,Uncommon,Delta Species,Tool,22.82
Air Balloon (Secret),Secret Rare,SWSH01: Sword & Shield Base Set,Tool,18.56
Focus Band,Rare,Neo Genesis,Tool,12.7
Dragon Talon (Secret),Secret Rare,Dragon Majesty,Tool,12.51
Crystal Shard,Uncommon,Skyridge,Tool,11.28
Escape Board (Secret Rare),Secret Rare,SM - Ultra Prism,Tool,10.2
Big Charm (Secret),Secret Rare,SWSH02: Rebel Clash,Tool,9.54
Telescopic Sight (Secret),Secret Rare,SWSH04: Vivid Voltage,Tool,9.12
Cape of Toughness (Secret),Secret Rare,SWSH04: Vivid Voltage,Tool,8.98
Exp. Share (Secret),Secret Rare,SWSH05: Battle Styles,Tool,8.76
