Card Name,Rarity,Set Name,Card Type,Pokemon Name,Market Price
Charizard Star (Delta Species),Ultra Rare,Dragon Frontiers,Pokemon,Charizard,2400.0
Charizard,Holo Rare,Base Set (Shadowless),Pokemon,Charizard,2266.0
Shining Charizard,Secret Rare,Neo Destiny,Pokemon,Charizard,1995.01
Espeon Star,Ultra Rare,POP Series 5,Pokemon,Espeon,1199.99
Mewtwo Star,Ultra Rare,Holon Phantoms,Pokemon,Mewtwo,1199.99
Blastoise,Holo Rare,Base Set (Shadowless),Pokemon,Blastoise,1099.99
Charizard ex,Ultra Rare,FireRed & LeafGreen,Pokemon,Charizard,1056.25
Umbreon Star,Ultra Rare,POP Series 5,Pokemon,Umbreon,999.99
Charizard - SWSH066 (Prerelease Promo) [Staff],Promo,SWSH: Sword & Shield Promo Cards,Pokemon,Charizard,859.24
Umbreon - 60/108 (Regional Championship Promo) [Staff],Promo,League & Championship Cards,Pokemon,Umbreon,750.0
